country,commodity,total2018,total2019,total2020,total2021,country_code,latitude,longitude,code country
Netherlands,08 Animal feeding stuffs,344.34,353.13000000000005,360.64000000000004,306.4,NL,52.132633,5.291266,NL Netherlands
Netherlands,09 Miscellaneous foods,457.70000000000005,510.47999999999996,513.69,421.33,NL,52.132633,5.291266,NL Netherlands
Norway,03 Fish & shellfish,131.5,161.54,141.49,500.84999999999997,NO,60.472024,8.468946,NO Norway
New Zealand,01 Meat & meat preparations,290.59,229.94,232.64000000000004,201.41000000000003,NZ,-40.900557,174.885971,NZ New Zealand
Peru,05 Vegetables & fruit,265.3,283.44,292.33000000000004,293.73,PE,-9.189967,-75.015152,PE Peru
Pakistan,04 Cereals,73.09,76.94,94.02999999999999,91.28000000000002,PK,30.375321,69.345116,PK Pakistan
Poland,01 Meat & meat preparations,628.45,673.61,711.71,735.04,PL,51.919438,19.145136,PL Poland
Poland,02 Dairy products & eggs,80.12,87.30000000000001,100.80999999999999,131.6,PL,51.919438,19.145136,PL Poland
Poland,03 Fish & shellfish,86.82,71.17,92.78999999999999,68.96,PL,51.919438,19.145136,PL Poland
Poland,04 Cereals,202.94,231.42,239.76,293.47,PL,51.919438,19.145136,PL Poland
Poland,05 Vegetables & fruit,292.75,279.53,267.18000000000006,278.69000000000005,PL,51.919438,19.145136,PL Poland
Poland,"07 Coffee, tea, cocoa etc",271.35,257.08000000000004,295.91,271.32,PL,51.919438,19.145136,PL Poland
Poland,09 Miscellaneous foods,122.37,143.91,163.22,168.35999999999999,PL,51.919438,19.145136,PL Poland
Portugal,05 Vegetables & fruit,108.23000000000002,118.97,123.09,119.98,PT,39.399872,-8.224454,PT Portugal
Sweden,03 Fish & shellfish,199.89999999999998,231.03,252.0,186.54000000000002,SE,60.128161,18.643501,SE Sweden
Thailand,01 Meat & meat preparations,499.36999999999995,520.76,476.14000000000004,399.18000000000006,TH,15.870032,100.992541,TH Thailand
Thailand,09 Miscellaneous foods,74.66,91.21000000000001,86.8,89.31,TH,15.870032,100.992541,TH Thailand
Turkey,05 Vegetables & fruit,290.36,309.15,339.8499999999999,315.15,TR,38.963745,35.243322,TR Turkey
Ukraine,04 Cereals,88.75,177.77,138.70999999999998,134.10999999999999,UA,48.379433,31.16558,UA Ukraine
United States,05 Vegetables & fruit,345.58,339.84,326.34000000000003,267.87,US,37.09024,-95.712891,US United States
United States,08 Animal feeding stuffs,129.07999999999998,110.15000000000002,86.34,155.23000000000002,US,37.09024,-95.712891,US United States
United States,09 Miscellaneous foods,191.57000000000002,197.59999999999997,211.77,134.67,US,37.09024,-95.712891,US United States
Vietnam,03 Fish & shellfish,222.76,230.4,243.95,204.09,VN,14.058324,108.277199,VN Vietnam
Vietnam,05 Vegetables & fruit,110.05999999999999,100.69000000000001,78.99999999999999,85.89999999999999,VN,14.058324,108.277199,VN Vietnam
Vietnam,"07 Coffee, tea, cocoa etc",67.61999999999999,80.36,73.5,70.07,VN,14.058324,108.277199,VN Vietnam
South Africa,05 Vegetables & fruit,592.86,561.0699999999999,591.97,587.4,ZA,-30.559482,22.937506,ZA South Africa
