country,year,Live animals,Meat,Dairy and eggs,Fish and shellfish,Cereals,Vegetables and fruit,Sugar,Coffee tea cocoa etc,Animal feeding,Miscellaneous foods
South Africa,2018,0.0,0.0,0.0,0.0,0.0,592.86,0.0,0.0,0.0,0.0
South Africa,2019,0.0,0.0,0.0,0.0,0.0,561.0699999999999,0.0,0.0,0.0,0.0
South Africa,2020,0.0,0.0,0.0,0.0,0.0,591.97,0.0,0.0,0.0,0.0
South Africa,2021,0.0,0.0,0.0,0.0,0.0,587.4,0.0,0.0,0.0,0.0
Spain,2018,0.0,190.69,71.23999999999998,0.0,188.22999999999996,1921.1100000000001,0.0,150.86,0.0,87.39999999999998
Spain,2019,0.0,213.93,76.25,0.0,200.61,2047.03,0.0,146.66000000000003,0.0,135.63
Spain,2020,0.0,223.38,67.36,0.0,200.27000000000004,2122.65,0.0,162.20999999999998,0.0,127.07
Spain,2021,0.0,192.97,69.50999999999999,0.0,173.89000000000001,1843.5199999999998,0.0,119.22,0.0,114.62
Sweden,2018,0.0,0.0,0.0,199.89999999999998,0.0,0.0,0.0,0.0,0.0,0.0
Sweden,2019,0.0,0.0,0.0,231.03,0.0,0.0,0.0,0.0,0.0,0.0
Sweden,2020,0.0,0.0,0.0,252.0,0.0,0.0,0.0,0.0,0.0,0.0
Sweden,2021,0.0,0.0,0.0,186.54000000000002,0.0,0.0,0.0,0.0,0.0,0.0
Thailand,2018,0.0,499.36999999999995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.66
Thailand,2019,0.0,520.76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,91.21000000000001
Thailand,2020,0.0,476.14000000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,86.8
Thailand,2021,0.0,399.18000000000006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,89.31
Turkey,2018,0.0,0.0,0.0,0.0,0.0,290.36,0.0,0.0,0.0,0.0
Turkey,2019,0.0,0.0,0.0,0.0,0.0,309.15,0.0,0.0,0.0,0.0
Turkey,2020,0.0,0.0,0.0,0.0,0.0,339.8499999999999,0.0,0.0,0.0,0.0
Turkey,2021,0.0,0.0,0.0,0.0,0.0,315.15,0.0,0.0,0.0,0.0
Ukraine,2018,0.0,0.0,0.0,0.0,88.75,0.0,0.0,0.0,0.0,0.0
Ukraine,2019,0.0,0.0,0.0,0.0,177.77,0.0,0.0,0.0,0.0,0.0
Ukraine,2020,0.0,0.0,0.0,0.0,138.70999999999998,0.0,0.0,0.0,0.0,0.0
Ukraine,2021,0.0,0.0,0.0,0.0,134.10999999999999,0.0,0.0,0.0,0.0,0.0
United States,2018,0.0,0.0,0.0,0.0,0.0,345.58,0.0,0.0,129.07999999999998,191.57000000000002
United States,2019,0.0,0.0,0.0,0.0,0.0,339.84,0.0,0.0,110.15000000000002,197.59999999999997
United States,2020,0.0,0.0,0.0,0.0,0.0,326.34000000000003,0.0,0.0,86.34,211.77
United States,2021,0.0,0.0,0.0,0.0,0.0,267.87,0.0,0.0,155.23000000000002,134.67
Vietnam,2018,0.0,0.0,0.0,222.76,0.0,110.05999999999999,0.0,67.61999999999999,0.0,0.0
Vietnam,2019,0.0,0.0,0.0,230.4,0.0,100.69000000000001,0.0,80.36,0.0,0.0
Vietnam,2020,0.0,0.0,0.0,243.95,0.0,78.99999999999999,0.0,73.5,0.0,0.0
Vietnam,2021,0.0,0.0,0.0,204.09,0.0,85.89999999999999,0.0,70.07,0.0,0.0
